meal_timing,meal_action,timestamp
1740808466645,not eat,2025-03-01_14-55-05.493
1740808466645,eat,2025-03-01_14-55-06.548
1740808466645,eat,2025-03-01_14-55-07.548
1740808466645,eat,2025-03-01_14-55-08.546
1740808466645,eat,2025-03-01_14-55-09.535
1740808466645,eat,2025-03-01_14-55-10.585
1740808466645,eat,2025-03-01_14-55-11.547
1740808466645,eat,2025-03-01_14-55-12.519
1740808466645,eat,2025-03-01_14-55-13.528
1740808466645,eat,2025-03-01_14-55-14.499
1740808466645,eat,2025-03-01_14-55-15.496
1740808466645,eat,2025-03-01_14-55-16.579
1740808466645,eat,2025-03-01_14-55-17.563
1740808466645,eat,2025-03-01_14-55-18.526
1740808466645,not eat,2025-03-01_14-55-19.489
1740808466645,eat,2025-03-01_14-55-20.442
1740808466645,eat,2025-03-01_14-55-21.419
1740808466645,eat,2025-03-01_14-55-22.371
1740808466645,eat,2025-03-01_14-55-23.325
1740808980433,eat,2025-03-01_15-03-20.435
1740808980433,eat,2025-03-01_15-03-21.980
1740808980433,eat,2025-03-01_15-03-22.999
1740808980433,not eat,2025-03-01_15-03-24.572
1740808980433,not eat,2025-03-01_15-03-25.521
1740808980433,eat,2025-03-01_15-03-26.482
1740808980433,eat,2025-03-01_15-03-27.431
1740808980433,eat,2025-03-01_15-03-28.407
1740808980433,eat,2025-03-01_15-03-29.515
1740808980433,eat,2025-03-01_15-03-30.496
1740808980433,eat,2025-03-01_15-03-31.473
1740808980433,not eat,2025-03-01_15-03-32.422
1740808980433,eat,2025-03-01_15-03-33.400
1740808980433,eat,2025-03-01_15-03-34.366
1740808980433,eat,2025-03-01_15-03-35.314
1740808980433,eat,2025-03-01_15-03-36.258
1740808980433,eat,2025-03-01_15-03-37.214
1740808980433,not eat,2025-03-01_15-03-38.163
1740808980433,eat,2025-03-01_15-03-39.125
1740808980433,eat,2025-03-01_15-03-40.092
1740808980433,eat,2025-03-01_15-03-41.074
1740808980433,eat,2025-03-01_15-03-42.067
1740808980433,not eat,2025-03-01_15-03-43.025
1740808980433,not eat,2025-03-01_15-03-43.973
1740808980433,eat,2025-03-01_15-03-44.926
1740808980433,not eat,2025-03-01_15-03-45.869
1740808980433,eat,2025-03-01_15-03-46.812
1740808980433,eat,2025-03-01_15-03-47.766
1740808980433,eat,2025-03-01_15-03-48.728
1740808980433,eat,2025-03-01_15-03-49.703
1740808980433,eat,2025-03-01_15-03-50.674
1740808980433,eat,2025-03-01_15-03-51.645
1740808980433,not eat,2025-03-01_15-03-52.597
1740808980433,not eat,2025-03-01_15-03-53.562
1740808980433,not eat,2025-03-01_15-03-55.094
1740808980433,not eat,2025-03-01_15-03-56.042
1740808980433,not eat,2025-03-01_15-03-57.000
1740808980433,not eat,2025-03-01_15-03-57.964
1740808980433,not eat,2025-03-01_15-03-58.936
1740809110488,eat,2025-03-01_15-05-26.279
1740809110488,eat,2025-03-01_15-05-27.254
1740809110488,eat,2025-03-01_15-05-28.215
1740809110488,eat,2025-03-01_15-05-29.220
1740809110488,eat,2025-03-01_15-05-30.190
1740809110488,eat,2025-03-01_15-05-31.155
1740809110488,not eat,2025-03-01_15-05-32.706
1740809110488,not eat,2025-03-01_15-05-33.674
1740809110488,eat,2025-03-01_15-05-34.631
1740809110488,eat,2025-03-01_15-05-35.613
1740809110488,eat,2025-03-01_15-05-36.581
1740809110488,eat,2025-03-01_15-05-37.544
1740809110488,eat,2025-03-01_15-05-39.101
1740809110488,eat,2025-03-01_15-05-40.061
1740809110488,eat,2025-03-01_15-05-41.015
1740809110488,eat,2025-03-01_15-05-41.967
1740809110488,eat,2025-03-01_15-05-42.914
1740809110488,eat,2025-03-01_15-05-43.888
1740809110488,eat,2025-03-01_15-05-44.849
1740809110488,eat,2025-03-01_15-05-45.793
1740809110488,eat,2025-03-01_15-05-46.737
1740809110488,eat,2025-03-01_15-05-47.724
1740809110488,eat,2025-03-01_15-05-48.685
1740809110488,eat,2025-03-01_15-05-49.637
1740809110488,eat,2025-03-01_15-05-50.596
1740874661399,not eat,2025-03-02_09-19-24.010
1740874661399,not eat,2025-03-02_09-19-25.210
1740874661399,not eat,2025-03-02_09-19-26.403
1740874661399,not eat,2025-03-02_09-19-28.045
1740874661399,not eat,2025-03-02_09-19-29.638
1740874661399,eat,2025-03-02_09-19-31.237
1740874661399,eat,2025-03-02_09-19-32.406
1740874661399,not eat,2025-03-02_09-19-33.721
1740874661399,not eat,2025-03-02_09-19-34.935
1740874661399,eat,2025-03-02_09-19-36.156
1740874661399,eat,2025-03-02_09-19-37.743
1740874661399,not eat,2025-03-02_09-19-38.878
1740874661399,not eat,2025-03-02_09-19-40.047
1740874661399,eat,2025-03-02_09-19-41.179
1740874661399,eat,2025-03-02_09-19-42.317
1740874661399,eat,2025-03-02_09-19-43.449
1740874661399,not eat,2025-03-02_09-19-44.582
1740874661399,eat,2025-03-02_09-19-45.716
1740874661399,not eat,2025-03-02_09-19-47.302
1740877258812,eat,2025-03-02_10-06-56.870
1740877258812,not eat,2025-03-02_10-06-57.855
1740877258812,eat,2025-03-02_10-06-58.801
1740877258812,eat,2025-03-02_10-06-59.764
